EstacaoCodigo;NivelConsistencia;Data;hora;MediaDiaria;TipoMedicaoCotas;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Cota01;Cota02;Cota03;Cota04;Cota05;Cota06;Cota07;Cota08;Cota09;Cota10;Cota11;Cota12;Cota13;Cota14;Cota15;Cota16;Cota17;Cota18;Cota19;Cota20;Cota21;Cota22;Cota23;Cota24;Cota25;Cota26;Cota27;Cota28;Cota29;Cota30;Cota31;Cota01Status;Cota02Status;Cota03Status;Cota04Status;Cota05Status;Cota06Status;Cota07Status;Cota08Status;Cota09Status;Cota10Status;Cota11Status;Cota12Status;Cota13Status;Cota14Status;Cota15Status;Cota16Status;Cota17Status;Cota18Status;Cota19Status;Cota20Status;Cota21Status;Cota22Status;Cota23Status;Cota24Status;Cota25Status;Cota26Status;Cota27Status;Cota28Status;Cota29Status;Cota30Status;Cota31Status
10100000;1;01/02/2025;17:00;0;1;1014;636;829;28;1;0;0;0;;0;640;640;646;660;670;679;698;726;747;757;770;782;820;853;878;890;899;911;919;925;933;953;953;966;980;989;1005;1014;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
10100000;1;01/02/2025;07:00;0;1;1014;636;829;28;1;0;0;0;;0;636;638;642;654;668;674;684;719;740;752;763;778;799;840;869;886;895;909;915;922;931;948;948;960;973;984;998;1011;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
10100000;1;01/02/2025;;1;1;1014;636;829;28;1;0;0;0;;0;638;639;644;657;669;677;691;723;744;755;767;780;810;847;874;888;897;910;917;924;932;951;951;963;977;987;1002;1013;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
10100000;1;01/01/2025;17:00;0;1;915;622;828;15;31;0;0;0;;0;853;862;869;876;882;886;888;888;886;886;892;898;904;912;915;907;901;890;873;854;817;802;790;769;744;719;690;665;638;624;628;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10100000;1;01/01/2025;07:00;0;1;915;622;828;15;31;0;0;0;;0;848;856;865;872;879;883;887;888;888;886;890;896;902;907;913;911;904;896;881;864;838;814;796;783;758;735;709;680;648;628;622;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10100000;1;01/01/2025;;1;1;915;622;828;15;31;0;0;0;;0;851;859;867;874;881;885;888;888;887;886;891;897;903;910;914;909;903;893;877;859;828;808;793;776;751;727;700;673;643;626;625;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10100000;1;01/12/2024;07:00;0;1;844;364;612;31;1;0;0;0;;0;364;389;409;424;437;449;464;479;494;518;538;556;571;582;594;609;624;639;654;662;671;682;698;728;753;774;793;813;824;834;842;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10100000;1;01/12/2024;17:00;0;1;844;364;612;31;1;0;0;0;;0;374;398;418;429;441;453;469;479;501;526;544;560;574;584;599;614;629;645;660;667;675;689;714;739;760;782;802;819;829;835;844;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10100000;1;01/12/2024;;1;1;844;364;612;31;1;0;0;0;;0;369;394;414;427;439;451;467;479;498;522;541;558;573;583;597;612;627;642;657;665;673;686;706;734;757;778;798;816;827;835;843;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10100000;1;01/11/2024;17:00;0;1;346;-81;206;30;1;0;0;0;;0;-68;-8;58;140;213;262;282;292;294;290;278;268;257;244;226;209;192;178;172;169;174;180;180;202;211;221;229;270;314;346;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
10100000;1;01/11/2024;07:00;0;1;346;-81;206;30;1;0;0;0;;0;-81;-30;38;113;186;243;275;290;292;294;284;273;262;249;233;214;198;184;174;169;171;177;180;196;209;216;223;256;292;331;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
10100000;1;01/11/2024;;1;1;346;-81;206;30;1;0;0;0;;0;-75;-19;48;127;200;253;279;291;293;292;281;271;260;247;230;212;195;181;173;169;173;179;180;199;210;219;226;263;303;339;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
10100000;1;01/10/2024;17:00;0;1;-44;-235;-152;26;8;0;0;0;;0;-215;-199;-198;-201;-212;-222;-232;-235;-235;-235;-213;-198;-191;-178;-174;-161;-148;-142;-136;-121;-109;-92;-74;-64;-48;-44;-59;-76;-90;-101;-90;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10100000;1;01/10/2024;07:00;0;1;-44;-235;-152;26;8;0;0;0;;0;-219;-204;-198;-199;-208;-216;-226;-234;-235;-235;-218;-204;-198;-182;-171;-165;-150;-144;-139;-126;-114;-101;-80;-69;-50;-44;-52;-64;-79;-98;-98;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10100000;1;01/10/2024;;1;1;-44;-235;-152;26;8;0;0;0;;0;-217;-202;-198;-200;-210;-219;-229;-235;-235;-235;-216;-201;-195;-180;-173;-163;-149;-143;-138;-124;-112;-97;-77;-67;-49;-44;-56;-70;-85;-100;-94;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10100000;1;01/09/2024;17:00;0;1;-120;-254;-189;5;25;0;0;0;;0;-124;-135;-131;-131;-120;-125;-129;-138;-146;-159;-166;-174;-180;-184;-188;-193;-198;-202;-211;-221;-233;-242;-250;-253;-254;-252;-248;-241;-230;-222;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
10100000;1;01/09/2024;07:00;0;1;-120;-254;-189;5;25;0;0;0;;0;-121;-133;-135;-131;-125;-123;-126;-132;-142;-156;-163;-171;-179;-183;-187;-191;-197;-199;-207;-217;-229;-238;-246;-252;-252;-254;-250;-245;-236;-225;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
10100000;1;01/09/2024;;1;1;-120;-254;-189;5;25;0;0;0;;0;-123;-134;-133;-131;-123;-124;-128;-135;-144;-158;-165;-173;-180;-184;-188;-192;-198;-201;-209;-219;-231;-240;-248;-253;-253;-253;-249;-243;-233;-224;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
10100000;1;01/08/2024;07:00;0;1;305;-116;43;1;31;0;0;0;;0;305;274;244;214;184;154;125;96;72;52;39;27;20;13;9;6;3;2;2;7;12;8;4;-9;-19;-31;-44;-60;-78;-94;-111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10100000;1;01/08/2024;17:00;0;1;305;-116;43;1;31;0;0;0;;0;291;262;233;202;170;142;113;86;64;47;34;24;17;11;8;6;3;2;2;12;12;7;2;-16;-28;-38;-51;-70;-82;-99;-116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10100000;1;01/08/2024;;1;1;305;-116;43;1;31;0;0;0;;0;298;268;239;208;177;148;119;91;68;50;37;26;19;12;9;6;3;2;2;10;12;8;3;-13;-24;-35;-48;-65;-80;-97;-114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10100000;1;01/07/2024;07:00;0;1;681;316;531;1;31;2;2;2;;0;681;679;669;652;632;608;594;579;570;570;579;584;587;582;576;564;548;528;511;496;488;490;490;493;469;450;428;408;384;356;332;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10100000;1;01/07/2024;17:00;0;1;681;316;531;1;31;2;2;2;;0;681;676;662;644;623;601;584;574;566;572;581;586;584;582;572;558;529;520;502;488;488;491;487;479;464;434;412;396;366;340;316;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1
10100000;1;01/07/2024;;1;1;681;316;531;1;31;2;2;2;;0;681;678;666;648;628;605;589;577;568;571;580;585;586;582;574;561;539;524;507;492;488;491;489;486;467;442;420;402;375;348;324;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1
