EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
10100000;2;01/02/2025;;1;1;49754,324;34537,03;42200,117;28;1;1;1;1;0;0;34537,03;34575,51;34768,1;35270,258;35735,594;36027,31;36593,195;37831,12;38662,87;39100,594;39579,703;40120,68;41310,035;42815,625;43923,902;44522,4;44895,035;45434,844;45726,266;45997,348;46352,523;47128,227;47128,227;47654,418;48224,566;48648,137;49285,46;49754,324;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
10100000;2;01/01/2025;;1;1;45601,305;34037,883;42106,15;15;31;1;1;1;0;0;42979,305;43327,715;43656,36;43944,504;44212,547;44377,727;44501,723;44522,4;44481,05;44439,71;44646,516;44895,035;45143,95;45414,047;45601,305;45393,254;45123,19;44729,312;44068,156;43327,715;42040,57;41249,32;40643,586;39960,17;38961,168;38008,92;36926,086;35871,645;34729,56;34076,203;34037,883;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10100000;2;01/12/2024;;1;1;42672,55;24648,686;33649,367;31;1;1;1;1;0;0;24648,686;25509,379;26218,168;26681,83;27129,828;27561,893;28122,836;28577,541;29254,291;30157,412;30863,135;31498,486;32043,297;32439,469;32950,86;33521,727;34095,37;34691,03;35270,258;35560,89;35891,09;36378,254;37181,223;38266,16;39180,332;40040,402;40825,04;41573,418;41999,89;42325,65;42672,55;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10100000;2;01/11/2024;;1;1;23589,043;10685,637;19224,07;30;1;1;1;1;0;0;10685,637;12246,147;14207,974;16608,342;18933,139;20674,014;21543,738;21965,48;22033,176;21999,32;21627,902;21275,047;20907,166;20474,76;19913,2;19323,475;18787,348;18335,832;18079,229;17951,314;18063,227;18255,533;18303,701;18916,924;19274,56;19552,215;19798,137;21024,021;22372,531;23589,043;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
10100000;2;01/10/2024;;1;1;11535,743;6539,063;8660,022;26;9;1;1;1;0;0;6974,651;7356,0576;7442,9756;7393,2725;7146,184;6925,8594;6683,3706;6551,0547;6539,063;6539,063;7011,308;7368,4565;7530,1836;7894,5244;8084,883;8327,843;8689,585;8845,947;8989,974;9359,548;9679,667;10084,082;10616,78;10906,821;11395,119;11535,743;11213,043;10809,895;10410,976;10002,823;10151,939;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10100000;2;01/09/2024;;1;1;9386,107;6111,5713;7699,162;1;25;1;1;1;0;0;9386,107;9081,97;9108,304;9161,035;9386,107;9346,275;9253,523;9055,658;8819,832;8469,435;8289,345;8084,883;7907,175;7806,133;7705,4614;7592,651;7455,4165;7380,862;7170,7856;6925,8594;6635,169;6419,4937;6229,4937;6123,335;6111,5713;6111,5713;6205,858;6348,0537;6587,0664;6816,436;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
10100000;2;01/08/2024;;1;1;22202,668;9626,102;14155,522;1;31;1;1;1;0;0;22202,668;21191,277;20209,943;19209,395;18207,402;17284,02;16374,451;15509,659;14809,374;14252,832;13865,397;13539,95;13333,996;13143,559;13041,339;12968,463;12881,166;12852,1045;12852,1045;13070,521;13143,559;13012,174;12881,166;12432,815;12117,387;11804,274;11437,255;10948,437;10534,321;10084,082;9626,102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10100000;2;01/07/2024;;1;1;36202,66;23089,947;30554,06;1;31;2;2;2;0;0;36202,66;36066,254;35599,69;34922,395;34133,71;33254,977;32666,473;32194,057;31873,934;31986,814;32326,137;32515,088;32534;32401,68;32099,809;31610,986;30770,012;30231,48;29585,143;29052,625;28906,209;28997,695;28924,5;28833,08;28122,836;27237,662;26449,71;25809,94;24858,69;23917,676;23089,947;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1
10100000;2;01/06/2024;;1;1;49242,9;35774,45;41388,98;1;26;2;2;2;0;0;49242,9;48966,504;48542,145;48076,566;47612,26;47191,28;46855,266;46519,934;46164,39;45622,125;45268,555;44563,76;43327,715;42447,992;41249,32;40180,914;39160,39;38127,586;37259,83;36436,84;36046,78;35929,996;35832,758;35813,32;35813,32;35774,45;35774,45;35774,45;35929,996;36163,67;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;0
10100000;2;01/03/2024;;1;1;51663,9;49179,074;50581,24;28;9;1;1;1;0;0;50931,99;50867,55;50695,83;50395,715;50074,73;49903,773;49413,207;49221,62;49179,074;49264,18;49498,426;49754,324;50031,977;50074,73;50245,85;50438,56;50567,15;50631,477;50824,605;50931,99;50974,96;50996,45;51082,434;51405,24;51512,97;51556,08;51620,76;51663,9;51448,324;51469,867;51340,63;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
