nivel;mes_ano;vazao;chuva
847;01/01/1995;39711,438;162,8
807;01/02/1995;38174,215;123
910;01/03/1995;42288,59;315,6
1060;01/04/1995;48282,215;122,2
983;01/05/1995;45118,85;80,2
860;01/06/1995;40268,883;50,9
605;01/07/1995;30629,576;13,9
244;01/08/1995;18737,434;34,5
111;01/09/1995;14694,091;13
235;01/10/1995;18374,658;128
571;01/11/1995;29439,016;156,2
733;01/12/1995;35317,39;210,3
860;01/01/1996;40170,684;80,6
945;01/02/1996;43619,582;185,2
1090;01/03/1996;49539,875;84,6
1135;01/04/1996;51545,38;54,6
1203;01/05/1996;54772,1;58,6
1018;01/06/1996;46808,02;39,4
503;01/07/1996;27101,193;15,2
462;01/08/1996;25601,648;6,9
315;01/09/1996;20776,586;27,2
588;01/10/1996;30020,936;29,4
698;01/11/1996;34030;106,1
726;01/12/1996;35167,69;162
649;01/01/1997;32235,248;32,2
764;01/02/1997;36700,676;157,8
1197;01/03/1997;54508,617;99,1
1228;01/04/1997;55952,445;42,7
1245;01/05/1997;56786,332;40
1190;01/06/1997;54195,758;45
551;01/07/1997;29010,184;9,2
342;01/08/1997;21688,879;58,8
245;01/09/1997;18618,76;114
275;01/10/1997;19588,867;60,9
506;01/11/1997;27209,215;185,9
863;01/12/1997;40337,473;229,3
1029;01/01/1998;47007,953;272,7
1027;01/02/1998;46929,21;28,4
1129;01/03/1998;51303,734;201,8
1237;01/04/1998;56411,273;133,9
1265;01/05/1998;57750,836;273,5
944;01/06/1998;43803,37;160,2
618;01/07/1998;31136,492;217,7526882
261;01/08/1998;19171,791;112,6
150;01/09/1998;15799,838;217,7526882
133;01/10/1998;15482,276;217,7526882
767;01/11/1998;36624,984;217,7526882
631;01/12/1998;31553,088;217,7526882
729;01/01/1999;35300,285;217,7526882
1162;01/02/1999;52892,78;217,7526882
1220;01/03/1999;55563,934;217,7526882
1260;01/04/1999;57552,73;
1350;01/05/1999;61972,207;
1304;01/06/1999;59719,633;
917;01/07/1999;42782,36;
487;01/08/1999;26474,066;
172;01/09/1999;16451,807;
360;01/10/1999;22241,139;
428;01/11/1999;24559,92;
675;01/12/1999;33294,66;
693;01/01/2000;33894,27;
761;01/02/2000;36371,57;
994;01/03/2000;45610,613;
1140;01/04/2000;51873,527;
1280;01/05/2000;58508,855;
1063;01/07/2000;48435,21;
737;01/08/2000;35499,83;
475;01/09/2000;26057,29;
543;01/10/2000;28418,71;
377;01/11/2000;22802,24;
565;01/12/2000;29193,559;
810;01/01/2001;38382,44;
1070;01/02/2001;48731,32;
1093;01/03/2001;49711,758;
1182;01/04/2001;53766,86;
1226;01/05/2001;55842,08;
1087;01/06/2001;49543,39;
788;01/07/2001;37403,89;
493;01/08/2001;26783,293;
445;01/09/2001;25032,115;
392;01/10/2001;23253,926;
567;01/11/2001;29239,959;
808;01/12/2001;38225,832;
816;01/01/2002;38542,95;
955;01/02/2002;44045,562;
1135;01/03/2002;51580,176;
1235;01/04/2002;56299,63;
1252;01/05/2002;57139,523;
1141;01/06/2002;52014,918;
809;01/07/2002;38266,258;
774;01/08/2002;37007,953;
445;01/09/2002;25061,68;
376;01/10/2002;22782,209;
827;01/11/2002;38985,11;
969;01/12/2002;44539,473;
1001;01/01/2003;45875,152;
951;01/02/2003;43831,45;
1076;01/03/2003;48975,08;
1124;01/04/2003;51059,48;
1193;01/05/2003;54280,62;
1197;01/06/2003;54478,324;
995;01/07/2003;45769,85;
554;01/08/2003;28778,963;
383;01/09/2003;22982,234;
503;01/10/2003;27000,207;
630;01/11/2003;31498,46;
800;01/12/2003;37932,3;
1038;01/01/2004;47401,047;
614;01/02/2004;30923,648;
847;01/03/2004;39725,766;
990;01/04/2004;45405,293;
979;01/05/2004;44963,758;
931;01/06/2004;42990,902;
911;01/07/2004;42213,14;
554;01/08/2004;28971,568;
512;01/09/2004;27294,719;
532;01/10/2004;28038,268;
848;01/11/2004;39774,527;
